State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
IN,Allen,146,0,21,26,99,643,155,425,63,2
IN,Brown,41,0,3,0,38,213,56,143,14,0
IN,Clark,105,0,6,13,86,386,103,231,52,
IN,Delaware,48,0,10,0,38,294,73,177,44,3
IN,Floyd,13,0,0,1,12,295,38,227,30,
IN,Franklin,2,0,0,1,1,168,58,83,27,0
IN,Hancock,46,0,4,8,34,233,52,143,38,0
IN,Johnson,46,0,0,6,40,471,62,407,2,0
IN,Lake,44,3,2,11,28,529,57,405,67,2
IN,La Porte,65,0,4,6,55,354,112,211,31,0
IN,Madison,32,2,14,2,14,449,109,321,19,2
IN,Monroe,65,0,17,2,46,638,90,472,76,1
IN,Porter,29,0,8,1,20,271,58,185,28,
IN,Shelby,51,0,7,1,43,181,53,97,31,1
IN,Tippecanoe,34,0,12,6,16,475,142,306,27,3
IN,Vanderburgh,43,0,9,6,28,614,87,485,42,3
IN,Vigo,90,2,9,8,71,906,316,462,128,18
IN,Warrick,120,1,9,9,101,576,87,443,46,0
IN,Clinton,9,0,4,3,2,163,43,105,15,1
IN,DeKalb,6,0,5,0,1,127,28,78,21,
IN,Gibson,28,1,4,3,20,123,28,75,20,0
IN,Grant,27,1,1,6,19,206,88,110,8,0
IN,Jackson,17,1,4,1,11,341,78,245,18,
IN,Jay,16,0,0,2,14,65,3,59,3,
IN,Jennings,3,0,2,0,1,116,70,46,0,
IN,Scott,9,0,7,1,1,192,45,137,10,
IN,Starke,15,0,1,2,12,191,17,157,17,0
IN,Steuben,11,0,7,1,3,383,102,249,32,2
IN,Wayne,12,0,7,0,5,118,35,73,10,
IN,White,0,0,0,0,0,21,19,1,1,
IN,,,,,,,,,,,
